state,year,emissions_per_cap
wyoming,1990,126.0
alabama,1991,27.8
alaska,1991,60.4
arizona,1991,16.9
arkansas,1991,20.9
california,1991,11.4
colorado,1991,20.0
connecticut,1991,12.0
delaware,1991,26.2
district of columbia,1991,7.3
florida,1991,14.1
georgia,1991,19.7
hawaii,1991,17.1
idaho,1991,11.5
illinois,1991,16.6
indiana,1991,36.0
iowa,1991,23.4
kansas,1991,27.1
kentucky,1991,32.2
louisiana,1991,44.8
maine,1991,14.9
maryland,1991,14.2
massachusetts,1991,13.6
michigan,1991,19.0
minnesota,1991,17.7
mississippi,1991,18.5
missouri,1991,20.0
montana,1991,36.0
nebraska,1991,21.1
nevada,1991,25.2
new hampshire,1991,12.9
new jersey,1991,14.1
new mexico,1991,31.0
new york,1991,11.0
north carolina,1991,16.3
north dakota,1991,72.1
ohio,1991,22.4
oklahoma,1991,28.1
oregon,1991,11.7
pennsylvania,1991,21.5
rhode island,1991,10.6
south carolina,1991,17.4
south dakota,1991,16.4
tennessee,1991,20.2
texas,1991,32.4
utah,1991,30.0
vermont,1991,10.0
virginia,1991,15.3
washington,1991,14.3
west virginia,1991,53.2
wisconsin,1991,17.7
wyoming,1991,120.9
alabama,1992,29.1
alaska,1992,60.8
arizona,1992,17.0
arkansas,1992,21.2
california,1992,11.4
colorado,1992,19.7
connecticut,1992,12.1
delaware,1992,25.6
district of columbia,1992,7.3
florida,1992,14.0
georgia,1992,19.2
hawaii,1992,17.6
idaho,1992,10.5
illinois,1992,16.1
indiana,1992,35.2
iowa,1992,22.7
kansas,1992,25.8
kentucky,1992,32.9
louisiana,1992,46.1
maine,1992,15.5
maryland,1992,13.7
massachusetts,1992,13.9
michigan,1992,18.7
minnesota,1992,17.8
mississippi,1992,18.4
missouri,1992,19.7
montana,1992,36.9
nebraska,1992,20.2
nevada,1992,24.9
new hampshire,1992,12.9
new jersey,1992,14.9
new mexico,1992,31.9
new york,1992,10.9
north carolina,1992,17.6
north dakota,1992,74.7
ohio,1992,22.6
oklahoma,1992,28.6
oregon,1992,11.9
pennsylvania,1992,22.0
rhode island,1992,12.8
south carolina,1992,17.0
south dakota,1992,16.3
tennessee,1992,21.0
texas,1992,32.1
utah,1992,29.9
vermont,1992,10.7
virginia,1992,15.2
washington,1992,15.6
west virginia,1992,54.2
wisconsin,1992,17.3
wyoming,1992,131.2
alabama,1993,29.7
alaska,1993,59.6
arizona,1993,17.0
arkansas,1993,20.5
california,1993,10.9
colorado,1993,20.0
connecticut,1993,11.5
delaware,1993,27.1
district of columbia,1993,7.6
florida,1993,13.9
georgia,1993,20.1
hawaii,1993,16.0
idaho,1993,11.2
illinois,1993,17.3
indiana,1993,35.6
iowa,1993,23.7
kansas,1993,27.9
kentucky,1993,35.3
louisiana,1993,46.6
maine,1993,15.1
maryland,1993,14.0
massachusetts,1993,13.3
michigan,1993,18.7
minnesota,1993,18.6
mississippi,1993,19.0
missouri,1993,19.2
montana,1993,33.2
nebraska,1993,22.1
nevada,1993,24.1
new hampshire,1993,13.2
new jersey,1993,14.4
new mexico,1993,31.7
new york,1993,10.5
north carolina,1993,18.0
north dakota,1993,74.7
ohio,1993,22.9
oklahoma,1993,29.3
oregon,1993,11.5
pennsylvania,1993,22.2
rhode island,1993,10.6
south carolina,1993,18.0
south dakota,1993,17.0
tennessee,1993,22.8
texas,1993,32.3
utah,1993,29.9
vermont,1993,10.7
